Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2011,71000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.6
2014,32000,Diesel,Manual,First,22.32,1582.0,126.3,5.0,4.3
2017,19234,CNG,Manual,First,17.5,1373.0,80.46,7.0,8.35
2017,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5.0,24.9
2011,102000,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.75
2014,42277,Diesel,Manual,First,24.0,1186.0,73.97,5.0,3.85
2014,46000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,23.25
2015,50000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
2008,62000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,1.65
2012,78000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,6.5
2011,79000,Diesel,Manual,First,17.67,1968.0,138.08,5.0,7.5
2019,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,72.94
2010,135000,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,11.0
2013,36716,Petrol,Manual,First,18.9,1061.0,67.0,5.0,3.02
2013,65060,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.32
2013,33000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.24
2015,11110,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.35
2013,63000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,5.5
2015,27030,Petrol,Manual,First,17.8,1497.0,117.3,5.0,6.75
2015,19600,Petrol,Manual,First,15.0,1598.0,103.52,5.0,6.15
2016,27755,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.45
2013,20000,Petrol,Manual,Second,21.1,814.0,55.2,5.0,2.3
2015,24782,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6.21
2014,47303,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,5.21
2008,71000,Petrol,Automatic,First,8.3,4134.0,250.0,7.0,11.99
2010,135000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.1
2017,1000,Diesel,Manual,First,13.49,2179.0,138.03,5.0,7.5
2016,29000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.0
2016,36367,Petrol,Manual,First,17.8,1497.0,117.3,5.0,7.73
2015,38000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,7.8
2011,83969,Petrol,Manual,First,16.1,796.0,37.0,4.0,1.3
2014,82621,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.42
2009,89000,Diesel,Automatic,First,12.5,1991.0,147.9,7.0,4.0
2016,54000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.0
2015,61691,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.38
2011,32200,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.25
2016,68630,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.87
2014,61000,Diesel,Automatic,Second,16.96,1968.0,138.03,5.0,8.25
2018,32644,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.28
2012,85000,Diesel,Automatic,First,11.79,2179.0,120.0,7.0,6.25
2008,75000,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,1.15
2016,40347,Petrol,Manual,First,20.73,1373.0,91.2,5.0,7.8
2012,60788,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.5
2018,18664,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.56
2017,57847,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16.08
2012,52237,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.5
2012,128000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.0
2011,54000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2.2
2014,49800,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.0
2012,98000,Diesel,Manual,First,20.86,1199.0,73.9,5.0,2.51
2015,60095,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.75
2008,68000,Petrol,Manual,Second,16.0,1086.0,66.7,5.0,2.0
2010,81402,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1
2013,38000,Petrol,Automatic,First,16.5,1499.0,110.0,5.0,6.25
2011,92239,Diesel,Automatic,Second,11.5,2987.0,210.0,5.0,10.6
2017,49224,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.0
2004,12000,Petrol,Manual,Second,16.1,796.0,37.0,4.0,0.45
2010,54898,Petrol,Manual,Third,16.1,1298.0,88.2,5.0,2.5
2018,2500,Petrol,Manual,First,15.29,1591.0,121.3,5.0,12.75
2017,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,30.29
2006,27076,Petrol,Manual,First,13.8,1299.0,70.0,5.0,1.6
2017,75445,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.54
2015,46601,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.84
2012,72000,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,6.0
2017,27000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,8.0
2016,68193,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,24.74
2017,34429,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.5
2013,46000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,36.0
2013,80544,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.79
2011,42000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,3.0
2011,94821,Diesel,Automatic,Second,20.0,1968.0,138.1,5.0,6.75
2006,100000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.4
2014,57000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.75
2010,79894,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.4
2011,44748,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,4.89
2013,31000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,4.95
2013,60587,Petrol,Automatic,Second,16.98,998.0,66.1,5.0,3.49
2014,43772,Petrol,Manual,First,17.0,1497.0,118.0,5.0,6.35
2017,23576,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,7.08
2017,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,38.0
2012,62000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.25
2011,36000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.15
2014,80000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,10.75
2012,137008,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,4.65
2010,61001,Diesel,Manual,First,12.05,2179.0,120.0,8.0,4.75
2015,52191,Petrol,Manual,First,17.1,1591.0,121.3,5.0,7.78
2016,77076,Diesel,Manual,First,23.0,1396.0,90.0,5.0,6.75
2008,56000,Petrol,Automatic,First,16.4,1497.0,78.0,5.0,2.99
2013,21000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.35
2013,89429,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.65
2012,45631,Petrol,Manual,Second,22.5,998.0,67.04,5.0,2.74
2013,53959,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.5
2014,55804,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.76
2016,25899,Petrol,Manual,First,15.04,1598.0,103.2,5.0,6.2
2008,82000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,2.35
2014,52000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,24.5
2013,20000,Petrol,Manual,First,13.24,1598.0,102.57,5.0,6.0
2017,31829,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.65
2016,18094,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6.26
2015,11964,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,32.95
2018,22684,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.8
2014,43521,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4.25
2014,49386,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.86
2017,12248,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.9
2014,67771,Diesel,Manual,First,11.68,2498.0,112.0,8.0,7.06
2015,60007,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,4.5
2011,48624,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.22
2014,30000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.25
2016,81605,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.53
2017,32642,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,34.78
2014,34200,Petrol,Automatic,First,15.74,1591.0,121.3,5.0,6.5
2010,72204,Petrol,Manual,First,15.7,1172.0,67.0,5.0,2.25
2011,156347,Diesel,Manual,Second,12.99,2494.0,100.0,8.0,8.0
2017,47357,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,8.37
2015,61738,Diesel,Manual,First,20.14,1498.0,88.8,5.0,5.39
2018,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,37.3
2018,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,70.8
2012,51000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,22.25
2018,10393,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.03
2011,46000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,4.9
2013,21000,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.96
2011,113562,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.6
2011,100010,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,5.5
2013,63107,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.25
2017,58500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.25
2007,90000,Diesel,Manual,Fourth & Above,10.9,2499.0,143.0,7.0,3.0
2011,108242,Diesel,Manual,First,16.8,1493.0,110.0,5.0,4.25
2011,146300,Diesel,Manual,First,11.5,2982.0,171.0,7.0,12.25
2011,62943,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,10.95
2013,65000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5
2018,1700,Petrol,Automatic,First,19.0,1199.0,88.76,5.0,7.8
2013,34697,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.7
2012,58000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.0
2015,32500,Diesel,Automatic,First,19.59,1995.0,187.74,5.0,26.75
2016,58661,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,28.03
2017,37124,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.44
2017,44000,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,6.2
2005,45200,Petrol,Manual,First,13.2,1495.0,94.0,5.0,0.9
2016,11000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.95
2011,65000,Petrol,Manual,Second,26.0,624.0,35.0,4.0,0.44
2012,55005,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
2011,81650,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,7.5
2010,160000,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,2.5
2015,169000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,5.0
2013,67263,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.6
2012,44223,Petrol,Manual,First,17.6,1496.0,88.7,5.0,3.99
2015,36840,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64
2014,160000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,12.0
2008,133000,Diesel,Manual,First,16.8,1405.0,62.0,5.0,0.7
2015,69123,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.0
2017,38000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,30.48
2017,5500,Petrol,Manual,First,21.56,1462.0,103.25,5.0,8.2
2015,1001,Diesel,Manual,First,25.83,1498.0,99.0,5.0,7.55
2007,59000,Petrol,Manual,Third,15.26,1150.0,74.9,5.0,0.99
2011,78256,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,4.15
2016,90000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,6.2
2016,18000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.4
2012,60000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.1
2011,130000,Diesel,Manual,First,20.3,1248.0,75.0,5.0,2.2
2018,32851,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.34
2014,32000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35
2014,62700,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.8
2010,71000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.3
2016,19947,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.04
2012,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,9.2
2014,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.7
2018,55594,Diesel,Manual,First,18.49,1493.0,100.0,7.0,8.48
2013,58000,Diesel,Automatic,First,11.2,2993.0,306.0,4.0,48.0
2012,110224,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.1
2010,21002,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.75
2017,121000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.0
2010,73513,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.85
2015,34000,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.85
2017,28371,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.74
2013,74755,Diesel,Manual,First,19.6,1461.0,108.45,5.0,5.63
2011,25805,Petrol,Manual,First,18.2,1061.0,64.0,5.0,2.62
2015,82603,Petrol,Manual,First,13.06,1598.0,102.53,5.0,4.9
2006,110000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.65
2012,88000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,5.99
2011,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5.0,2.4
2017,15000,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.25
2013,70000,Diesel,Automatic,First,15.15,2967.0,240.0,5.0,40.0
2008,150000,Diesel,Manual,Second,28.4,1248.0,74.0,5.0,2.7
2016,19000,Petrol,Manual,First,20.63,1198.0,67.0,5.0,2.99
2011,37442,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.4
2016,63111,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,30.8
2012,88000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.85
2014,42355,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.0
2011,75871,Petrol,Automatic,First,9.43,2996.0,254.0,5.0,14.12
2011,65000,Diesel,Manual,First,17.9,1998.0,163.7,5.0,4.55
2015,69000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,38.0
2011,79232,Diesel,Manual,First,21.1,1248.0,73.9,5.0,2.9
2007,220000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,6.0
2016,28470,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.95
2014,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,2.75
2014,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.1
2017,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.75
2014,59451,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.69
2013,53996,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.45
2018,15135,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.29
2015,53000,Petrol,Automatic,Second,16.9,1197.0,81.86,5.0,4.0
2013,40000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2.9
2013,21107,Petrol,Manual,First,17.1,1591.0,121.3,5.0,5.25
2014,56000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5.75
2017,19623,Petrol,Manual,First,15.29,1591.0,121.3,5.0,13.12
2014,70963,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.83
2013,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,3.15
2013,51450,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.4
2012,75000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.35
2017,37832,Petrol,Automatic,First,22.5,998.0,67.0,5.0,5.23
2016,43041,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.01
2014,97236,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.4
2010,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,12.75
2011,65000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.4
2018,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.71
2015,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,5.49
2004,73500,Petrol,Manual,Second,13.0,1343.0,90.0,5.0,1.3
2014,55000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,8.5
2012,115000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,12.99
2017,31184,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0
2017,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9.0
2016,38143,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.22
2012,19030,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.8
2019,20877,Petrol,Manual,First,18.16,1197.0,78.9,5.0,7.27
2016,23555,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.1
2013,29000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,29.0
2013,61000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.9
2012,4187,Petrol,Manual,First,26.0,624.0,35.0,4.0,1.38
2011,46000,Petrol,Manual,First,13.4,1798.0,157.8,5.0,5.5
2016,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,7.25
2014,83558,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.98
2017,40000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25
2013,36000,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.95
2014,21000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,24.5
2013,62162,Diesel,Manual,First,12.99,2494.0,100.0,7.0,8.31
2012,83000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,36.0
2015,58000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,5.5
2011,62332,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,5.89
2016,50867,Diesel,Manual,First,20.34,1498.0,103.2,5.0,7.95
2010,73000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.75
2012,98008,Diesel,Manual,First,22.7,1582.0,126.24,5.0,6.25
2015,36000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.95
2019,27339,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27
2017,25000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,8.65
2014,37000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.5
2015,56000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,35.0
2015,27000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.45
2012,37000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.65
2017,10500,Diesel,Manual,First,25.32,1198.0,77.0,5.0,4.7
2014,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5.0,8.9
2017,7000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,17.45
2017,71256,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.58
2012,83184,Petrol,Manual,First,14.28,1798.0,138.03,5.0,6.22
2013,87284,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.8
2016,7000,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,27.75
2015,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,7.0
2017,33552,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,64.87
2013,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5.0,6.5
2011,82000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,2.7
2012,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,2.5
2013,166194,Diesel,Manual,First,19.3,1461.0,84.8,7.0,3.9
2015,58000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.95
2010,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1
2009,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4.0,3.5
2007,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0
2014,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.35
2013,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.8
2016,17000,Petrol,Automatic,First,15.5,1595.0,122.0,5.0,17.25
2018,46493,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.53
2009,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,1.95
2017,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.2
1999,140000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,0.9
2013,255000,Diesel,Manual,Third,12.99,2494.0,100.6,7.0,6.5
2014,45535,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,19.41
2016,39228,Petrol,Manual,First,15.7,1368.0,112.4,5.0,6.58
2011,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5.0,2.1
2008,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0
2015,54000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.7
2014,53000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.8
2014,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.25
2015,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.53
2011,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,10.9
2018,1800,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.1
2009,44200,Petrol,Manual,Second,18.0,995.0,62.0,5.0,1.6
2018,14000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.25
2013,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.9
2012,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,14.4
2011,68000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.6
2017,19543,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,40.5
2014,38000,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,38.95
2014,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.6
2016,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.12
2016,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.52
2012,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,10.35
2014,56000,Petrol,Manual,First,15.0,1598.0,103.52,5.0,7.0
2011,60000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85
2010,78563,Diesel,Manual,First,16.52,1991.0,123.7,5.0,2.35
2014,34669,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.9
2017,17000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.65
2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.4
2014,102418,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.1
2014,48800,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.25
2019,10601,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.65
2017,8200,Diesel,Manual,First,25.0,1396.0,69.0,5.0,4.4
2012,100000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.25
2012,78000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.8
2015,50000,Diesel,Manual,First,18.2,1248.0,73.74,8.0,4.3
2006,89327,Diesel,Manual,Third,17.8,1399.0,68.0,5.0,1.55
2007,98000,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,4.7
2017,24700,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.07
2018,6000,Diesel,Automatic,First,11.0,2987.0,258.0,7.0,79.0
2018,9434,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.75
2012,29000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.25
2017,22440,Diesel,Automatic,First,22.0,1498.0,108.495,5.0,8.89
2015,73070,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.9
2016,21771,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.95
2014,62000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.75
2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,10.97
2014,60336,Diesel,Automatic,Second,14.4,2967.0,241.4,5.0,24.94
2014,26008,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.97
2010,90000,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,1.4
2018,35569,Petrol,Manual,First,17.0,1198.0,73.75,5.0,7.27
2013,40000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.0
2015,45000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.75
2015,42000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,5.1
2012,46913,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,16.11
2014,62000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.55
2017,15000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,30.0
2002,69000,Diesel,Manual,First,18.7,1896.0,66.0,5.0,1.6
2012,41367,Diesel,Automatic,First,15.8,2148.0,170.0,5.0,18.49
2018,15982,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.96
2013,99595,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,4.75
2002,63000,Diesel,Manual,Third,13.1,2446.0,75.0,10.0,3.65
2012,49000,Diesel,Automatic,Second,16.73,2495.0,218.0,5.0,15.5
2013,48272,Diesel,Manual,First,10.5,2835.0,116.9,6.0,11.82
2008,63000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,2.05
2016,77000,CNG,Manual,First,26.6,998.0,58.16,5.0,3.3
2013,11734,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.25
2014,62012,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.12
2017,46000,CNG,Manual,First,25.0,1197.0,81.86,5.0,4.95
2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.48
2004,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5.0,5.5
2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.19
2012,88000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,3.85
2016,45376,Diesel,Manual,First,28.4,1248.0,73.75,5.0,5.75
2014,81000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.0
2012,83381,Petrol,Manual,First,18.6,1199.0,79.4,5.0,2.21
2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.09
2017,27313,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,48.63
2015,42747,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,39.47
2015,42265,Diesel,Automatic,Second,20.68,1995.0,190.0,5.0,22.24
2009,21000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,2.6
2016,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,12.0
2014,70000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,18.0
2007,55000,Petrol,Automatic,Third,10.13,3498.0,364.9,5.0,9.99
2012,58235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.45
2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.99
2011,35000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.15
2017,24000,Diesel,Manual,First,28.4,1248.0,73.75,5.0,8.2
2016,98000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11.5
2016,44487,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3
2008,65000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.59
2015,34951,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.15
